osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
587602380,Blackburn Arms Pub,restaurant,pub,NA,pub,NA,Innes Road,2586,NA,NA,-75.56540933618724,45.43087672813561
587769289,Sushi 29,fast_food,fast_food,NA,fast_food,NA,Innes Road,2662,NA,NA,-75.56244374061158,45.43156047472758
587769301,Jumbo Restaurant,restaurant,restaurant,NA,restaurant,NA,Innes Road,2672,NA,NA,-75.56265082097669,45.431981144250884
587769302,Circle K,convenience,convenience,convenience,NA,Circle K,Innes Road,2672,NA,NA,-75.5628156797556,45.431916500161215
587769303,Subway,fast_food,fast_food,NA,fast_food,Subway,Innes Road,2670,NA,NA,-75.56269198230358,45.4318676128433
587955605,Hung Mein,fast_food,fast_food,NA,fast_food,NA,Baseline Road,2567,NA,NA,-75.78733069676008,45.341719752108936
587955609,The Neighbourhood Pub,restaurant,bar,NA,bar,NA,Baseline Road,2559,NA,NA,-75.78701861323073,45.34184919087294
587955610,Mr. Shawarma,fast_food,fast_food,NA,fast_food,NA,Baseline Road,2555,NA,NA,-75.78693353812857,45.34188452294112
587955611,1 for 1 Pizza,fast_food,fast_food,NA,fast_food,NA,Baseline Road,2547,NA,NA,-75.78681797157499,45.34193318056247
588714002,Pizza Pizza,fast_food,fast_food,NA,fast_food,Pizza Pizza,Robertson Road,1826,NA,NA,-75.81812891298061,45.32725355144378
588714008,Prima Cafe,fast_food,fast_food,NA,fast_food,NA,Northside Road,26,NA,NA,-75.8138799466493,45.32943951620175
589120344,Nuvo,restaurant,restaurant,NA,restaurant,NA,Innes Road,1481,NA,NA,-75.60762742863392,45.41667381590992
